anchor,answer
you speak a lot, don't you?, So, should I leave my job?
what does a nosey pepper do?,gets jalapeno business!,
what do you call a fake noodle?,an impasta,
what do you call an alligator in a vest?,an investigator,
what happens if you eat yeast and shoe polish?,every morning you'll rise and shine!,
what's the difference between a guitar and a fish?,you can't tuna fish,
what do you call a pile of kittens?,a meowntain,
what do you call a baby monkey?,a chimp off the old block,
did you hear about the hungry clock?,it went back four seconds,
what do you call a boy who finally stood up to the bullies?,an ambulance,
why can't you give elsa a balloon?,because she will let it go, 
what do you get from a pampered cow?,spoiled milk, 
if mississippi bought virginia a new jersey, what would delaware?,idaho, alaska!, 
did you hear about that new broom?,it's sweeping the nation!,
what do you call an elephant that doesn't matter?,an irrelephant, 
what do lawyers wear to court?,lawsuits!, 
what gets wetter the more it dries?,a towel, 
where do crayons go on vacation?,color-ado!, 
why did the belt get arrested?,he held up a pair of pants, 
what do you call a fat psychic?,a four chin teller, 
what do you call a computer floating in the ocean?,a dell rolling in the deep, 
what did bacon say to tomato?,lettuce get together!, 
what do you call a computer that sings?,a-dell 
did you hear about the shampoo shortage in jamaica?,it's dread-full, 
what is it called when a cat wins a dog show?,a cat-has-trophy!, 
how do you make a tissue dance?,put a little boogey in it!, 
why is your foot more special than your other body parts?,because they have their own soul, 
what is heavy forward but not backward?,ton, 
what do you call a gangsta snowman?,froze-t,
what did the femur say to the patella?,i kneed you,
what do you get if you cross a cat with a dark horse?,kitty perry,
why did the picture go to jail?,because it was framed, 
what do you call a three-footed aardvark?,a yardvark!, 
what do you get when you cross fish and an elephant?,swimming trunks, 
where do bees go to the bathroom?,at the bp station!, 
who earns a living driving their customers away?,a taxi driver, 
what do you call a laughing jar of mayonnaise?,lmayo,
what do you call a dinosaur with a extensive vocabulary?,a thesaurus, 
how do you shoot a killer bee?,with a bee bee gun,
how do you drown a hipster?,in the mainstream, 
what kind of jokes do you make in the shower?,clean jokes!, 
what did the baby corn say to the mama corn?,where's popcorn? 
what do you call sad coffee,despresso, 
how do you make holy water?,boil the hell out of it!, 
what happened to the dog that swallowed a firefly?,it barked with de-light!, 
what stays in the corner and travels all over the world?,a stamp, 
what do you call a man with no body and just a nose?,nobody nose, 
why did the computer go to the doctor?,because it had a virus!, 
why did the giraffe get bad grades?,he had his head in the clouds, 
why are frogs so happy?,they eat whatever bugs them,
what is brown and has a head and a tail but no legs?,a penny, 
how do you make an octupus laugh?,with ten-tickles,
why are pirates called pirates?,cause they arrrrr, 
what is the tallest building in the world?,the library!, it has the most stories!, 
what's the first bet that most people make in their lives?,the alpha bet,
what do you get when you cross a cow and a duck?,milk and quackers!, 
how do you organize a space party?,you planet!, 
what did the leopard say after eating his owner?,man, that hit the spot, 
what do you call a sleeping bull?,a bulldozer!, 
what do you call security guards working outside samsung shops?,guardians of the galaxy, 
what do you call having your grandma on speed dial?,instagram, 
why did the banana go to the doctor?,because it was not peeling well,
why is england the wettest country?,because the queen has reigned there for years!, 
what belongs to you but others use more?,your name,
why do fish live in salt water?,because pepper makes them sneeze!,
why did the man put his money in the freezer?,he wanted cold hard cash!,
what do you get when you cross a snowman with a vampire?,frostbite,
what is the best day to go to the beach?,sunday, of course!,
which is the building is the largest?,the library because it has the most stories,
what do you call an illegally parked frog?,toad,
what bow can't be tied?,a rainbow!,
what do you call a laughing motorcycle?,a yamahahaha,
what season is it when you are on a trampoline?,spring time,
where did the computer go to dance?,to a disc-o, 
what has one head, one foot and four legs?,a bed,
what is the difference between a school teacher and a train?,the teacher says spit your gum out and the train says chew chew chew, 
why did the birdie go to the hospital?,to get a tweetment, 
why did the cross-eyed teacher lose her job?,because she couldn't control her pupils,
what do you call someone who is afraid of santa?,a clausterphobic,
what three candies can you find in every school?,nerds, dumdums, and smarties,
what sound do porcupines make when they kiss?,ouch,
why was the guy looking for fast food on his friend?,because his friend said dinner is on me,
did you hear the joke about the roof?,never mind, it's over your head!,
what do you call a bee that lives in america?,a: usb,
how do you make a tissue dance?,put a bogey in it,
why didn't the skeleton go to the dance?,because he had no-body to go with, 
how do crazy people go through the forest?,they take the psycho path, 
